Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,"BN,Points","BN,Points","BN,Points","BN,Points","BN,Points","BN,Points","BN,Points",Total,Opponent,Opponent Total
theBIGLebronski,1,Jalen Hurts QB - PHI,27.60,Dalvin Cook RB,13.60,James Robinson RB,17.60,Dalvin Cook RB,13.60,James Robinson RB,17.60,Tyreek Hill WR - MIA,3.30,Deebo Samuel WR - WAS,7.90,Tyreek Hill WR - MIA,3.30,Deebo Samuel WR - WAS,7.90,Kyle Pitts TE - ATL,8.70,-,0.00,Daniel Carlson K - LV,10.70,San Francisco 49ers DEF - SF,8.00,Robert Woods WR,8.50,Adam Thielen WR - MIN,12.10,DK Metcalf WR - PIT,12.40,J.K. Dobbins RB - DEN,4.00,Travis Etienne RB - JAX,7.50,Chris Olave WR - NO,14.70,-,0.00,161.00,Juschka,134.90
Juschka,5,Josh Allen QB - BUF,26.70,Najee Harris RB - LAC,10.10,Josh Jacobs RB - GB,9.70,Najee Harris RB - LAC,10.10,Josh Jacobs RB - GB,9.70,Ja'Marr Chase WR - CIN,6.70,Hollywood Brown WR - KC,14.00,Ja'Marr Chase WR - CIN,6.70,Hollywood Brown WR - KC,14.00,Gerald Everett TE,2.50,-,0.00,Ryan Succop K,9.00,Los Angeles Rams DEF - LAR,6.00,Cordarrelle Patterson RB,21.30,Mike Evans WR - TB,0.00,Marquez Valdes-Scantling WR,4.80,Jeff Wilson RB - MIA,8.60,Diontae Johnson WR,8.40,Garrett Wilson WR - NYJ,6.00,-,0.00,134.90,theBIGLebronski,161.00
Jottage,7,Russell Wilson QB - NYG,9.06,Christian McCaffrey RB - SF,11.50,Nick Chubb RB - HOU,17.30,Christian McCaffrey RB - SF,11.50,Nick Chubb RB - HOU,17.30,Christian Kirk WR - HOU,13.20,CeeDee Lamb WR - DAL,14.70,Christian Kirk WR - HOU,13.20,CeeDee Lamb WR - DAL,14.70,George Kittle TE - SF,2.80,-,0.00,Evan McPherson K - CIN,10.30,Tampa Bay Buccaneers DEF - TB,6.00,Allen Robinson WR,2.30,Chris Godwin WR - TB,0.00,DJ Moore WR - CHI,1.50,Darrell Henderson RB,1.70,Devin Singletary RB - NYG,15.10,Jerry Jeudy WR - CLE,1.70,-,0.00,117.26,lancemourdock,115.78
lancemourdock,8,Justin Herbert QB - LAC,12.58,Joe Mixon RB - HOU,3.80,Leonard Fournette RB,7.00,Joe Mixon RB - HOU,3.80,Leonard Fournette RB,7.00,Justin Jefferson WR - MIN,1.40,A.J. Brown WR - PHI,14.50,Justin Jefferson WR - MIN,1.40,A.J. Brown WR - PHI,14.50,T.J. Hockenson TE - MIN,7.80,-,0.00,Wil Lutz K - DEN,2.00,Philadelphia Eagles DEF - PHI,18.00,DeAndre Hopkins WR - BAL,0.00,Chase Edmonds RB - WAS,14.70,Damien Harris RB,10.60,Hunter Renfrow WR - CAR,0.00,Breece Hall RB - NYJ,9.20,New Orleans Saints DEF - NO,4.00,-,0.00,115.78,Jottage,117.26
ShamH,2,Patrick Mahomes QB - KC,23.36,Saquon Barkley RB - PHI,16.20,James Conner RB - ARI,7.70,Saquon Barkley RB - PHI,16.20,James Conner RB - ARI,7.70,Cooper Kupp WR - SEA,12.20,Jaylen Waddle WR - MIA,3.90,Cooper Kupp WR - SEA,12.20,Jaylen Waddle WR - MIA,3.90,Travis Kelce TE - KC,15.20,-,0.00,Matt Gay K - WAS,9.90,Dallas Cowboys DEF - DAL,10.00,Mike Williams WR,12.00,Kareem Hunt RB - KC,6.80,Rashaad Penny RB,27.70,Tony Pollard RB - TEN,0.80,Gabe Davis WR - BUF,1.30,Rashod Bateman WR - BAL,1.70,-,0.00,168.66,SimonFuhr237,149.28
SimonFuhr237,6,Kyler Murray QB - ARI,22.88,Derrick Henry RB - BAL,20.70,A.J. Dillon RB - PHI,8.40,Derrick Henry RB - BAL,20.70,A.J. Dillon RB - PHI,8.40,Stefon Diggs WR - NE,6.20,Tee Higgins WR - CIN,18.40,Stefon Diggs WR - NE,6.20,Tee Higgins WR - CIN,18.40,Mark Andrews TE - BAL,1.50,-,0.00,Tyler Bass K - BUF,12.70,Buffalo Bills DEF - BUF,7.00,Tyler Lockett WR - TEN,7.10,JuJu Smith-Schuster WR - KC,4.60,Dallas Goedert TE - PHI,7.20,Courtland Sutton WR - DEN,11.20,D'Andre Swift RB - CHI,0.00,Elijah Mitchell RB - KC,0.00,-,0.00,149.28,ShamH,168.66
kesso,8,Joe Burrow QB - CIN,20.08,Jonathan Taylor RB - IND,2.30,Javonte Williams RB - DAL,2.70,Jonathan Taylor RB - IND,2.30,Javonte Williams RB - DAL,2.70,Michael Pittman WR - IND,3.10,Drake London WR - ATL,1.70,Michael Pittman WR - IND,3.10,Drake London WR - ATL,1.70,Darren Waller TE - MIA,2.40,-,0.00,Brandon McManus K - GB,5.00,Denver Broncos DEF - DEN,2.00,Keenan Allen WR - LAC,0.00,Melvin Gordon RB,-1.20,Allen Lazard WR - NYJ,11.60,DeVonta Smith WR - PHI,1.70,Amon-Ra St. Brown WR - DET,0.00,Aaron Rodgers QB - PIT,16.14,-,0.00,79.02,LosSausages,147.46
LosSausages,7,Lamar Jackson QB - BAL,13.06,Austin Ekeler RB - WAS,28.90,Ezekiel Elliott RB,8.10,Austin Ekeler RB - WAS,28.90,Ezekiel Elliott RB,8.10,Davante Adams WR - LAR,10.50,Amari Cooper WR,0.90,Davante Adams WR - LAR,10.50,Amari Cooper WR,0.90,Zach Ertz TE - WAS,10.70,-,0.00,Justin Tucker K,11.30,Green Bay Packers DEF - GB,7.00,Michael Thomas WR,0.00,Alvin Kamara RB - NO,0.00,T.J. Hockenson TE - MIN,31.90,Brandon Aiyuk WR - SF,3.70,Antonio Gibson RB - NE,6.30,Baltimore Ravens DEF - BAL,5.00,-,0.00,147.46,kesso,79.02
theBIGLebronski,1,Jalen Hurts QB - PHI,15.96,James Robinson RB,2.90,Miles Sanders RB - DAL,27.60,James Robinson RB,2.90,Miles Sanders RB - DAL,27.60,Tyreek Hill WR - MIA,15.90,Deebo Samuel WR - WAS,17.70,Tyreek Hill WR - MIA,15.90,Deebo Samuel WR - WAS,17.70,Kyle Pitts TE - ATL,2.50,-,0.00,Daniel Carlson K - LV,14.90,Los Angeles Chargers DEF - LAC,8.00,Robert Woods WR,9.00,Adam Thielen WR - MIN,7.20,DK Metcalf WR - PIT,14.90,J.K. Dobbins RB - DEN,18.30,Travis Etienne RB - JAX,3.20,Chris Olave WR - NO,12.70,-,0.00,179.36,Jottage,156.78
Jottage,4,Russell Wilson QB - NYG,26.48,Jamaal Williams RB,22.90,Nick Chubb RB - HOU,18.70,Jamaal Williams RB,22.90,Nick Chubb RB - HOU,18.70,Christian Kirk WR - HOU,6.30,CeeDee Lamb WR - DAL,15.70,Christian Kirk WR - HOU,6.30,CeeDee Lamb WR - DAL,15.70,George Kittle TE - SF,2.40,-,0.00,Evan McPherson K - CIN,11.70,Pittsburgh Steelers DEF - PIT,5.00,Chris Godwin WR - TB,5.90,DJ Moore WR - CHI,6.10,Devin Singletary RB - NYG,7.60,Cam Akers RB - MIN,1.30,Rhamondre Stevenson RB - NE,8.90,Tampa Bay Buccaneers DEF - TB,1.00,-,0.00,156.78,theBIGLebronski,179.36
